id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,rollout width,125,49,27,80,373,ship,baseline,monotonic-signal,raise-signal
m002,g002,quota pressure,36,57,39,59,109,watch,edge,drag-penalty,drop-slack
m003,g003,route drift,43,10,33,30,1,hold,recovery,confidence-floor,raise-drag
m004,g004,secret scope,50,54,21,73,249,ship,negative,lane-boundary,lower-confidence
m005,g005,rollout width,66,8,41,75,93,hold,baseline,monotonic-signal,raise-signal
m006,g006,quota pressure,108,12,10,74,338,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,93,33,45,35,97,hold,recovery,confidence-floor,raise-drag
m008,g008,secret scope,89,75,33,7,177,watch,negative,lane-boundary,lower-confidence
m009,g009,rollout width,56,64,32,103,286,ship,baseline,monotonic-signal,raise-signal
m010,g010,quota pressure,73,50,33,63,207,ship,edge,drag-penalty,drop-slack
m011,g011,route drift,46,27,21,91,223,ship,recovery,confidence-floor,raise-drag
m012,g012,secret scope,36,12,27,10,-19,hold,negative,lane-boundary,lower-confidence
m013,g013,rollout width,43,42,24,80,210,ship,baseline,monotonic-signal,raise-signal
m014,g014,quota pressure,37,14,14,70,172,watch,edge,drag-penalty,drop-slack
m015,g015,route drift,86,54,38,26,142,watch,recovery,confidence-floor,raise-drag
m016,g016,secret scope,114,71,20,82,434,ship,negative,lane-boundary,lower-confidence
m017,g017,rollout width,96,12,37,48,127,watch,baseline,monotonic-signal,raise-signal
m018,g018,quota pressure,77,44,26,72,256,ship,edge,drag-penalty,drop-slack
m019,g019,route drift,76,9,50,45,10,hold,recovery,confidence-floor,raise-drag
m020,g020,secret scope,35,23,11,66,193,watch,negative,lane-boundary,lower-confidence
m021,g021,rollout width,115,33,39,58,217,ship,baseline,monotonic-signal,raise-signal
m022,g022,quota pressure,101,64,33,29,223,ship,edge,drag-penalty,drop-slack
m023,g023,route drift,58,64,39,85,219,ship,recovery,confidence-floor,raise-drag
m024,g024,secret scope,84,26,12,61,282,ship,negative,lane-boundary,lower-confidence
m025,g025,rollout width,65,70,24,73,296,ship,baseline,monotonic-signal,raise-signal
m026,g026,quota pressure,46,23,11,34,151,watch,edge,drag-penalty,drop-slack
